[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 1 = Brick
# BRICK
1	0	0	22	32	993
1	480	0	22	32	993
1	0	961	22	512	32
1	0	897	22	160	32
1	224	897	22	128	32
1	416	897	22	96	32
1	0	833	22	96	32
1	160	833	22	64	32
1	288	833	22	224	32
1	96	769	22	192	32
1	352	769	22	64	32
1	0	705	22	160	32
1	224	705	22	128	32
1	96	641	22	128	32
1	288	641	22	128	32
1	0	577	22	288	32
1	352	577	22	64	32
1	0	513	22	96	32
1	160	513	22	192	32
1	96	449	22	64	32
1	224	449	22	192	32
1	0	385	22	96	32
1	160	385	22	64	32
#khung lua
1	288	384	22	16	32
1	336	384	22	16	32
1	304	400	22	32	16
#
#khung lua
1	96	320	22	16	32
1	144	320	22	16	32
1	112	336	22	32	16
#
1	224	321	22	64	32
1	0	257	22	96	32
#khung lua
1	160	256	22	16	32
1	208	256	22	16	32
1	176	272	22	32	16
#
#khung lua
1	96	192	22	16	32
1	144	192	22	16	32
1	112	208	22	32	16
#lava brick
160	112	323	22	32	16
160	304	387	22	32	16
160	176	259	22	32	16
160	112	195	22	32	16
#
1	0	129	22	96	32
1	0	65	22	96	32
1	0	0	22	512	32
#back
2	0	850	3	460	141	0	1	1	275	2
#go
2	0	80	5	424	1135.5	0	1	1	246	999.44
#Centipede
#10	148	40	10
#Golem
#11	200	125	11	
#Domes
#13	276	40	13
#FLOATER
#14	920	75	14
#INSECT
#15	200	100	15
#ORBS
#16	230	100	16
#SKULLS
#17	200	100	17
#ORBEZ
#18	200	100	18
#MINES
#19	150	100	19
#EYEBALLS
#20	180	100	20
