[OBJECTS]
1	0	480	22	512	64
1	0	416	22	96	64
1	96	432	22	32	16
1	288	416	22	64	64
1	256	432	22	32	16
1	160	352	22	64	64
1	160	288	22	64	64
1	288	352	22	128	64
1	128	368	22	32	16
1	224	368	22	32	16
1	416	368	22	32	16
1	448	432	22	32	16
1	448	304	22	32	16
1	416	240	22	32	16
1	448	176	22	32	16
1	416	112	22	32	16
1	0	224	22	416	64
1	0	160	22	96	64
1	96	176	22	32	16
1	128	112	22	32	16
1	160	96	22	256	64
1	352	160	22	64	64
1	0	-1	22	512	32

1	0	-1	22	32	543
1	480	-1	22	32	543

#back
2	0	390	6	424	142.5	0	1	1	240	0
#go
2	0	135	8	422	152.5	0	1	1	248	0
#Centipede
#10	148	40	10
#Golem
#11	200	125	11	
#Domes
#13	276	40	13
#FLOATER
#14	920	75	14
#INSECT
#15	200	100	15
#ORBS
#16	230	100	16
#SKULLS
#17	200	100	17
#ORBEZ
#18	200	100	18
#MINES
#19	150	100	19
#EYEBALLS
#20	180	100	20
